date,sales
3-Jan,25400
4-Jan,25280.001
5-Jan,26530.001
6-Jan,28070
7-Jan,31330
8-Jan,45830.002
9-Jan,54080.002
10-Jan,77000
11-Jan,82820
12-Jan,80879.997
13-Jan,91779.999
14-Jan,94820
15-Jan,101240
16-Jan,98269.997
17-Jan,103400
3-Feb,25440.001
4-Feb,25240
5-Feb,26639.999
6-Feb,28440.001
7-Feb,31639.999
8-Feb,46320
9-Feb,55700.001
10-Feb,78750
11-Feb,83370.003
12-Feb,82160.004
13-Feb,91589.996
14-Feb,95790.001
15-Feb,102470
16-Feb,99790.001
3-Mar,25370.001
4-Mar,25340
5-Mar,26930
6-Mar,28650
7-Mar,32110.001
8-Mar,47310.001
9-Mar,56560.001
10-Mar,79279.999
11-Mar,83169.998
12-Mar,83089.996
13-Mar,93269.997
14-Mar,95330.002
15-Mar,102600
16-Mar,101690
3-Apr,25400
4-Apr,25360.001
5-Apr,26750
6-Apr,28930
7-Apr,32450.001
8-Apr,47820
9-Apr,57840
10-Apr,79199.997
11-Apr,82959.999
12-Apr,83489.998
13-Apr,96050.003
14-Apr,95300.003
15-Apr,102810
16-Apr,102550
3-May,25490
4-May,25389.999
5-May,26740
6-May,29350
7-May,34020
8-May,48060.001
9-May,59939.999
10-May,79870.003
11-May,82769.997
12-May,83980.003
13-May,94129.997
14-May,95650.002
15-May,103000
16-May,103910
3-Jun,25240
4-Jun,25270
5-Jun,26700.001
6-Jun,29490
7-Jun,35669.998
8-Jun,48770
9-Jun,62070
10-Jun,79959.999
11-Jun,82849.998
12-Jun,85370.003
13-Jun,93190.002
14-Jun,96209.999
15-Jun,101960
16-Jun,105830
3-Jul,25240
4-Jul,25350
5-Jul,26809.999
6-Jul,29660
7-Jul,37139.999
8-Jul,49360.001
9-Jul,64010.002
10-Jul,80320
11-Jul,82290.001
12-Jul,86570
13-Jul,93029.999
14-Jul,96910.004
15-Jul,101960
16-Jul,107170
3-Aug,25280.001
4-Aug,25420
5-Aug,26860.001
6-Aug,29700.001
7-Aug,37459.999
8-Aug,49799.999
9-Aug,66269.997
10-Aug,80400.002
11-Aug,82800.003
12-Aug,86970.001
13-Aug,93169.998
14-Aug,97309.998
15-Aug,102140
16-Aug,108640
3-Sep,25420
4-Sep,25530.001
5-Sep,27230
6-Sep,30139.999
7-Sep,39939.999
8-Sep,50900.002
9-Sep,69349.998
10-Sep,80449.997
11-Sep,81540.001
12-Sep,88919.998
13-Sep,92930
14-Sep,98940.002
15-Sep,100220
16-Sep,110430
3-Oct,25280.001
4-Oct,25790.001
5-Oct,27400
6-Oct,30500
7-Oct,41360.001
8-Oct,52119.999
9-Oct,70739.998
10-Oct,80730.003
11-Oct,80019.997
12-Oct,90410.004
13-Oct,93889.999
14-Oct,100140
15-Oct,100140
16-Oct,109200
3-Nov,25410
4-Nov,25980
5-Nov,27510
6-Nov,30740
7-Nov,44299.999
8-Nov,52189.999
9-Nov,73080.002
10-Nov,81500
11-Nov,79650.002
12-Nov,90089.996
13-Nov,94370.003
14-Nov,100350
15-Nov,99629.997
16-Nov,106900
3-Dec,25370.001
4-Dec,26129.999
5-Dec,27650
6-Dec,30760
7-Dec,45840
8-Dec,52799.999
9-Dec,74769.997
10-Dec,81900.002
11-Dec,79940.002
12-Dec,90440.002
13-Dec,94449.997
14-Dec,100570
15-Dec,98910.004
16-Dec,103690
